Default
Academic
Analytical
Argumentative
Conversational
Creative
Critical
Descriptive
Epigrammatic
Epistolary
Expository
Informative
Instructive
Journalistic
Metaphorical
Narrative
Persuasive
Poetic
Satirical
Technical
